date,hour,match,home_team,away_team,home_goals_bol,away_goals_bol,home_goals_real,away_goals_real,resultado_bol_placar,resultado_bol_time,resultado_real_placar,resultado_real_time,who
2025-06-14,21h,al_ahly-vs-inter_miami,Al Ahly,Inter Miami,1.0,3.0,0,0,1 x 3,Inter Miami,0 x 0,empate,Rafael Conte
2025-06-15,13h,bayern_de_munique-vs-auckland_city,Bayern de Munique,Auckland City,3.0,0.0,10,0,3 x 0,Bayern de Munique,10 x 0,Bayern de Munique,Rafael Conte
2025-06-15,16h,paris_saint_germain-vs-atlético_de_madrid,Paris Saint-Germain,Atlético de Madrid,3.0,1.0,4,0,3 x 1,Paris Saint-Germain,4 x 0,Paris Saint-Germain,Rafael Conte
2025-06-15,19h,palmeiras-vs-porto,Palmeiras,Porto ,0.0,4.0,0,0,0 x 4,Porto ,0 x 0,empate,Rafael Conte
2025-06-15,23h,botafogo-vs-seattle_sounders,Botafogo,Seattle Sounders,1.0,0.0,2,1,1 x 0,Botafogo,2 x 1,Botafogo,Rafael Conte
2025-06-16,16h,chelsea-vs-los_angeles_fc,Chelsea,Los Angeles FC,3.0,1.0,2,0,3 x 1,Chelsea,2 x 0,Chelsea,Rafael Conte
2025-06-16,19h,boca_juniors-vs-benfica,Boca Juniors,Benfica,1.0,0.0,2,2,1 x 0,Boca Juniors,2 x 2,empate,Rafael Conte
2025-06-16,22h,flamengo-vs-espérance,Flamengo,Espérance,1.0,0.0,2,0,1 x 0,Flamengo,2 x 0,Flamengo,Rafael Conte
2025-06-17,13h,fluminense-vs-borussia_dortmund,Fluminense,Borussia Dortmund,0.0,3.0,0,0,0 x 3,Borussia Dortmund,0 x 0,empate,Rafael Conte
2025-06-17,16h,river_plate-vs-urawa_reds,River Plate,Urawa Reds,2.0,0.0,3,1,2 x 0,River Plate,3 x 1,River Plate,Rafael Conte
2025-06-17,19h,ulsan_hd-vs-mamelodi_sundowns,Ulsan HD,Mamelodi Sundowns,3.0,2.0,0,1,3 x 2,Ulsan HD,0 x 1,Mamelodi Sundowns,Rafael Conte
2025-06-17,22h,monterrey-vs-internazionale,Monterrey,Internazionale,0.0,2.0,1,1,0 x 2,Internazionale,1 x 1,empate,Rafael Conte
2025-06-18,13h,manchester_city-vs-wydad_casablanca,Manchester City,Wydad Casablanca,3.0,0.0,2,0,3 x 0,Manchester City,2 x 0,Manchester City,Rafael Conte
2025-06-18,16h,real_madrid-vs-al_hilal,Real Madrid,Al-Hilal,4.0,0.0,1,1,4 x 0,Real Madrid,1 x 1,empate,Rafael Conte
2025-06-18,19h,pachuca-vs-rb_salzburg,Pachuca,RB Salzburg,3.0,2.0,1,2,3 x 2,Pachuca,1 x 2,RB Salzburg,Rafael Conte
2025-06-18,22h,al_ain-vs-juventus,Al-Ain,Juventus,1.0,2.0,0,5,1 x 2,Juventus,0 x 5,Juventus,Rafael Conte
2025-06-19,13h,palmeiras-vs-al_ahly,Palmeiras,Al Ahly,0.0,3.0,2,0,0 x 3,Al Ahly,2 x 0,Palmeiras,Rafael Conte
2025-06-19,16h,inter_miami-vs-porto,Inter Miami,Porto ,1.0,3.0,2,1,1 x 3,Porto ,2 x 1,Inter Miami,Rafael Conte
