date,hour,match,home_team,away_team,home_goals_bol,away_goals_bol,home_goals_real,away_goals_real,resultado_bol_placar,resultado_bol_time,resultado_real_placar,resultado_real_time,who
2025-06-14,21h,al_ahly-vs-inter_miami,Al Ahly,Inter Miami,2.0,3.0,0,0,2 x 3,Inter Miami,0 x 0,empate,Pedro Tayer
2025-06-15,13h,bayern_de_munique-vs-auckland_city,Bayern de Munique,Auckland City,1.0,1.0,10,0,1 x 1,empate,10 x 0,Bayern de Munique,Pedro Tayer
2025-06-15,16h,paris_saint_germain-vs-atlético_de_madrid,Paris Saint-Germain,Atlético de Madrid,2.0,1.0,4,0,2 x 1,Paris Saint-Germain,4 x 0,Paris Saint-Germain,Pedro Tayer
2025-06-15,19h,palmeiras-vs-porto,Palmeiras,Porto ,2.0,1.0,0,0,2 x 1,Palmeiras,0 x 0,empate,Pedro Tayer
2025-06-15,23h,botafogo-vs-seattle_sounders,Botafogo,Seattle Sounders,1.0,1.0,2,1,1 x 1,empate,2 x 1,Botafogo,Pedro Tayer
2025-06-16,16h,chelsea-vs-los_angeles_fc,Chelsea,Los Angeles FC,2.0,0.0,2,0,2 x 0,Chelsea,2 x 0,Chelsea,Pedro Tayer
2025-06-16,19h,boca_juniors-vs-benfica,Boca Juniors,Benfica,1.0,2.0,2,2,1 x 2,Benfica,2 x 2,empate,Pedro Tayer
2025-06-16,22h,flamengo-vs-espérance,Flamengo,Espérance,2.0,1.0,2,0,2 x 1,Flamengo,2 x 0,Flamengo,Pedro Tayer
2025-06-17,13h,fluminense-vs-borussia_dortmund,Fluminense,Borussia Dortmund,0.0,7.0,0,0,0 x 7,Borussia Dortmund,0 x 0,empate,Pedro Tayer
2025-06-17,16h,river_plate-vs-urawa_reds,River Plate,Urawa Reds,1.0,3.0,3,1,1 x 3,Urawa Reds,3 x 1,River Plate,Pedro Tayer
