date,hour,match,home_team,away_team,home_goals_bol,away_goals_bol,home_goals_real,away_goals_real,home_pen_bol,away_pen_bol,home_pen_real,away_pen_real,resultado_bol_placar,resultado_bol_time,resultado_real_placar,resultado_real_time,time_elapsed,who
2026-06-24,12h,suica-vs-canada,Suíça,Canadá,2.0,1.0,,,,,,,2 x 1,Suíça,,,notstarted,Marcelo
2026-06-24,12h,bosnia-vs-catar,Bósnia,Catar,1.0,0.0,,,,,,,1 x 0,Bósnia,,,notstarted,Marcelo
2026-06-24,18h,escocia-vs-brasil,Escócia,Brasil,1.0,3.0,,,,,,,1 x 3,Brasil,,,notstarted,Marcelo
2026-06-24,18h,marrocos-vs-haiti,Marrocos,Haiti,2.0,0.0,,,,,,,2 x 0,Marrocos,,,notstarted,Marcelo
2026-06-24,19h,republica_tcheca-vs-mexico,República Tcheca,México,1.0,2.0,,,,,,,1 x 2,México,,,notstarted,Marcelo
2026-06-24,19h,africa_do_sul-vs-coreia_do_sul,África do Sul,Coréia do Sul,1.0,2.0,,,,,,,1 x 2,Coréia do Sul,,,notstarted,Marcelo
2026-06-25,16h,curacao-vs-costa_do_marfim,Curaçao,Costa do Marfim,1.0,3.0,,,,,,,1 x 3,Costa do Marfim,,,notstarted,Marcelo
2026-06-25,16h,equador-vs-alemanha,Equador,Alemanha,1.0,2.0,,,,,,,1 x 2,Alemanha,,,notstarted,Marcelo
2026-06-25,18h,japao-vs-suecia,Japão,Suécia,2.0,1.0,,,,,,,2 x 1,Japão,,,notstarted,Marcelo
2026-06-25,18h,tunisia-vs-holanda,Tunísia,Holanda,0.0,2.0,,,,,,,0 x 2,Holanda,,,notstarted,Marcelo
2026-06-25,19h,paraguai-vs-australia,Paraguai,Austrália,2.0,1.0,,,,,,,2 x 1,Paraguai,,,notstarted,Marcelo
2026-06-25,19h,turquia-vs-estados_unidos,Turquia,Estados Unidos,2.0,2.0,,,,,,,2 x 2,empate,,,notstarted,Marcelo
2026-06-26,15h,senegal-vs-iraque,Senegal,Iraque,2.0,1.0,,,,,,,2 x 1,Senegal,,,notstarted,Marcelo
2026-06-26,15h,noruega-vs-franca,Noruega,França,1.0,3.0,,,,,,,1 x 3,França,,,notstarted,Marcelo
2026-06-26,18h,uruguai-vs-espanha,Uruguai,Espanha,0.0,2.0,,,,,,,0 x 2,Espanha,,,notstarted,Marcelo
2026-06-26,19h,cabo_verde-vs-arabia_saudita,Cabo Verde,Arábia Saudita,1.0,1.0,,,,,,,1 x 1,empate,,,notstarted,Marcelo
2026-06-26,20h,nova_zelandia-vs-belgica,Nova Zelândia,Bélgica,1.0,3.0,,,,,,,1 x 3,Bélgica,,,notstarted,Marcelo
2026-06-26,20h,egito-vs-ira,Egito,Irã,1.0,1.0,,,,,,,1 x 1,empate,,,notstarted,Marcelo
2026-06-27,17h,panama-vs-inglaterra,Panamá,Inglaterra,0.0,4.0,,,,,,,0 x 4,Inglaterra,,,notstarted,Marcelo
2026-06-27,17h,croacia-vs-gana,Croácia,Gana,1.0,0.0,,,,,,,1 x 0,Croácia,,,notstarted,Marcelo
2026-06-27,19h,colombia-vs-portugal,Colômbia,Portugal,1.0,3.0,,,,,,,1 x 3,Portugal,,,notstarted,Marcelo
2026-06-27,19h,rd_congo-vs-uzbequistao,RD Congo,Uzbequistão,1.0,1.0,,,,,,,1 x 1,empate,,,notstarted,Marcelo
2026-06-27,21h,argelia-vs-austria,Argélia,Áustria,1.0,2.0,,,,,,,1 x 2,Áustria,,,notstarted,Marcelo
2026-06-27,21h,jordania-vs-argentina,Jordânia,Argentina,0.0,3.0,,,,,,,0 x 3,Argentina,,,notstarted,Marcelo
